artist,style,genre,movement,tags,url,img,file_name
Konstantin Somov,Symbolism,portrait,Symbolism,"['female-portraits', 'Face', 'Hair', 'Chin', 'Eyebrow', 'Forehead', 'Head', 'Cheek', 'Nose']",https://www.wikiart.org/en/konstantin-somov/portrait-of-a-ostroumova-lebedeva,https://uploads3.wikiart.org/images/konstantin-somov/portrait-of-a-ostroumova-lebedeva.jpg!Large.jpg,83976-portrait-of-a-ostroumova-lebedeva.jpg
Lemuel Francis Abbott,Rococo,portrait,Rococo,,https://www.wikiart.org/en/lemuel-francis-abbott/william-herschel,https://uploads1.wikiart.org/00266/images/lemuel-francis-abbott/william-herschel01-hires.jpg!Large.jpg,27936-william-herschel01-hires.jpg
Fyodor Bronnikov,Realism,portrait,Romanticism,"['male-portraits', 'Facialhair', 'Beard', 'Forehead', 'Head', 'Chin']",https://www.wikiart.org/en/fyodor-bronnikov/portrait-of-an-old-man-1,https://uploads3.wikiart.org/images/fyodor-bronnikov/portrait-of-an-old-man-1.jpg!Large.jpg,45675-portrait-of-an-old-man-1.jpg
Beauford Delaney,Fauvism,portrait,Modernism,,https://www.wikiart.org/en/beauford-delaney/charlie-parker-1968,https://uploads4.wikiart.org/00315/images/beauford-delaney/charlie-parker-1968.jpg!Large.jpg,173807-charlie-parker-1968.jpg
Jean Auguste Dominique Ingres,Neoclassicism,portrait,Neoclassicism,"['male-portraits', 'Gentleman']",https://www.wikiart.org/en/jean-auguste-dominique-ingres/portrait-of-ferdinand-philippe-duke-of-orleans,https://uploads2.wikiart.org/images/jean-auguste-dominique-ingres/portrait-of-ferdinand-philippe-duke-of-orleans.jpg!Large.jpg,32422-portrait-of-ferdinand-philippe-duke-of-orleans.jpg
Egon Schiele,Expressionism,"self-portrait,figurative",Expressionism,"['Head', 'Chin', 'Cheek', 'Jaw']",https://www.wikiart.org/en/egon-schiele/self-portrait-with-raised-bared-shoulder-1912,https://uploads7.wikiart.org/00243/images/egon-schiele/large.jpg!Large.jpg,133648-large.jpg
Henri de Toulouse-Lautrec,Art Nouveau (Modern),portrait,Post-Impressionism,"['female-portraits', 'Lady', 'Fashionillustration']",https://www.wikiart.org/en/henri-de-toulouse-lautrec/yvette-guilbert-1895,https://uploads8.wikiart.org/images/henri-de-toulouse-lautrec/yvette-guilbert-1895.jpg!Large.jpg,117464-yvette-guilbert-1895.jpg
Valentin Serov,Realism,portrait,Realism,"['male-portraits', 'famous-people', 'Gentleman']",https://www.wikiart.org/en/valentin-serov/portrait-of-prince-vladimir-mikhailovich-golitsyn-1906,https://uploads4.wikiart.org/images/valentin-serov/portrait-of-prince-vladimir-mikhailovich-golitsyn-1906.jpg!Large.jpg,75240-portrait-of-prince-vladimir-mikhailovich-golitsyn-1906.jpg
Henri Fantin-Latour,Realism,self-portrait,Realism,"['Chin', 'Human']",https://www.wikiart.org/en/henri-fantin-latour/self-portrait-1858,https://uploads8.wikiart.org/images/henri-fantin-latour/self-portrait-1858.jpg,66578-self-portrait-1858.jpg
Frank Cadogan Cowper,Romanticism,portrait,Romanticism,['Lady'],https://www.wikiart.org/en/frank-cadogan-cowper/our-lady-of-the-fruits-of-the-earth,https://uploads6.wikiart.org/00190/images/frank-cadogan-cowper/our-lady-of-the-fruis-of-the-earth-1.jpg!Large.jpg,52885-our-lady-of-the-fruis-of-the-earth-1.jpg
Chaim Soutine,Expressionism,portrait,Expressionism,"['Restaurant', 'male-portraits']",https://www.wikiart.org/en/chaim-soutine/paulette-jourdain-1928-0,https://uploads6.wikiart.org/00116/images/chaim-soutine/the-pastry-chef.jpg!Large.jpg,134114-the-pastry-chef.jpg
Paul Gauguin,Unknown,portrait,Symbolism,,https://www.wikiart.org/en/paul-gauguin/van-gogh-painting-sunflowers-1888,https://uploads8.wikiart.org/images/paul-gauguin/van-gogh-painting-sunflowers-1888.jpg!Large.jpg,81200-van-gogh-painting-sunflowers-1888.jpg
Marianne Stokes,Art Nouveau (Modern),portrait,Impressionism,,https://www.wikiart.org/en/marianne-stokes/slovak-girls-1905,https://uploads5.wikiart.org/00266/images/marianne-stokes/marianne-stokes04.jpg,99119-marianne-stokes04.jpg
Alphonse Mucha,Art Nouveau (Modern),self-portrait,Art Nouveau,"['male-portraits', 'famous-people', 'Alfons-Mucha', 'Gentleman']",https://www.wikiart.org/en/alphonse-mucha/self-portrait-1907,https://uploads4.wikiart.org/images/alphonse-mucha/self-portrait-1907.jpg!Large.jpg,143810-self-portrait-1907.jpg
Joseph Duplessis,Neoclassicism,portrait,Rococo,"['Wolfgang-Amadeus-Mozart', 'Composer', 'childrenportraits', 'children', 'male-portraits']",https://www.wikiart.org/en/joseph-duplessis/wolfgang-amadeus-mozart-in-1767-1767,https://uploads5.wikiart.org/00326/images/joseph-duplessis/wolfgang-amadeus-mozart-1767.jpg!Large.jpg,26365-wolfgang-amadeus-mozart-1767.jpg
Konstantin Yuon,Post-Impressionism,portrait,Symbolism,"['childrenportraits', 'Face', 'Cheek', 'Forehead', 'Head', 'Chin']",https://www.wikiart.org/en/konstantin-yuon/portrait-of-oleg-yuon-the-artist-s-grandson-1929,https://uploads8.wikiart.org/images/konstantin-yuon/portrait-of-oleg-yuon-the-artist-s-grandson-1929.jpg!Large.jpg,87073-portrait-of-oleg-yuon-the-artist-s-grandson-1929.jpg
Clifford Possum Tjapaltjarri,Native Art,portrait,Native Art,,https://www.wikiart.org/en/clifford-possum-tjapaltjarri/emily-my-wife-womens-ceremony-1995,https://uploads7.wikiart.org/00335/images/clifford-possum-tjapaltjarri/emily-my-wife-women-s-ceremony-1995.jpg!Large.jpg,253384-emily-my-wife-women-s-ceremony-1995.jpg
Konstantin Makovsky,Romanticism,portrait,Romanticism,"['male-portraits', 'famous-people', 'Alexander-II-of-Russia']",https://www.wikiart.org/en/konstantin-makovsky/alexander-ii-of-russia,https://uploads4.wikiart.org/images/konstantin-makovsky/alexander-ii-of-russia.jpg!Large.jpg,49370-alexander-ii-of-russia.jpg
Paul Serusier,Post-Impressionism,portrait,Post-Impressionism,"['female-portraits', 'Brittany']",https://www.wikiart.org/en/paul-serusier/louise-the-breton-servant-1890,https://uploads5.wikiart.org/images/paul-serusier/louise-the-breton-servant-1890.jpg,117142-louise-the-breton-servant-1890.jpg
Émile Friant,Realism,self-portrait,Realism,,https://www.wikiart.org/en/emile-friant/self-portrait-1885,https://uploads3.wikiart.org/00321/images/emile-friant/emile-friant-autoportrait-1885.jpg!Large.jpg,74890-emile-friant-autoportrait-1885.jpg
Sophie Gengembre Anderson,Kitsch,portrait,Neoclassicism,,https://www.wikiart.org/en/sophie-gengembre-anderson/spring-blossom,https://uploads3.wikiart.org/00268/images/sophie-gengembre-anderson/spring-blossom.jpg,33454-spring-blossom.jpg
Frans Hals,Baroque,portrait,Baroque,"['famous-people', 'female-portraits', 'Lady']",https://www.wikiart.org/en/frans-hals/catarina-both-van-der-eem,https://uploads7.wikiart.org/images/frans-hals/catarina-both-van-der-eem.jpg!Large.jpg,12114-catarina-both-van-der-eem.jpg
Henri Fantin-Latour,Realism,self-portrait,Realism,,https://www.wikiart.org/en/henri-fantin-latour/self-portrait-1853,https://uploads0.wikiart.org/images/henri-fantin-latour/self-portrait-1853.jpg!Large.jpg,66575-self-portrait-1853.jpg
John Russell,Rococo,portrait,Rococo,,https://www.wikiart.org/en/john-russell/alexander-turner-1793,https://uploads5.wikiart.org/images/john-russell/alexander-turner-1793.jpg!Large.jpg,27541-alexander-turner-1793.jpg
Odilon Redon,Symbolism,portrait,Symbolism,"['flowers-and-plants', 'female-portraits', 'Organism']",https://www.wikiart.org/en/odilon-redon/woman-with-flowers-1903,https://uploads7.wikiart.org/images/odilon-redon/woman-with-flowers-1903.jpg!Large.jpg,80276-woman-with-flowers-1903.jpg
Joan Brull,Symbolism,portrait,Symbolism,"['Clothing', 'Dress', 'Gown', 'Formalwear', 'fashion', 'Neck', 'A-line', 'Sleeve']",https://www.wikiart.org/en/joan-brull/jeanne-1900,https://uploads8.wikiart.org/00313/images/joan-brull/jeanne-joan-brull-i-vinyoles-1863-1912.jpg!Large.jpg,82972-jeanne-joan-brull-i-vinyoles-1863-1912.jpg
Pierre-Paul Prud'hon,Romanticism,portrait,Neoclassicism,"['male-portraits', 'Gentleman', 'Chin', 'Human']",https://www.wikiart.org/en/pierre-paul-prud-hon/arnauld-de-beaufort-1818,https://uploads7.wikiart.org/images/pierre-paul-prud-hon/arnauld-de-beaufort-1818.jpg!Large.jpg,31619-arnauld-de-beaufort-1818.jpg
Henri de Toulouse-Lautrec,Post-Impressionism,portrait,Post-Impressionism,"['female-portraits', 'Lady', 'Tree']",https://www.wikiart.org/en/henri-de-toulouse-lautrec/the-greens-seated-woman-in-a-garden-1891,https://uploads1.wikiart.org/images/henri-de-toulouse-lautrec/the-greens-seated-woman-in-a-garden-1891.jpg!Large.jpg,117332-the-greens-seated-woman-in-a-garden-1891.jpg
Remedios Varo,Expressionism,portrait,Surrealism,"['female-portraits', 'Head', 'Chin', 'Cheek', 'Forehead']",https://www.wikiart.org/en/remedios-varo/portrait-of-grandmother-do-a-josefa-zejalvo-1926,https://uploads6.wikiart.org/images/remedios-varo/portrait-of-grandmother-do-a-josefa-zejalvo-1926.jpg!Large.jpg,186566-portrait-of-grandmother-do-a-josefa-zejalvo-1926.jpg
Gerard van Honthorst,Baroque,portrait,Baroque,,https://www.wikiart.org/en/gerard-van-honthorst/portrait-of-henriette-marie-of-the-palatinate,https://uploads0.wikiart.org/00310/images/gerard-van-honthorst/henriette-marie-princess-palatine-1626-1651-studio-of-gerrit-van-honthorst.jpg!Large.jpg,13178-henriette-marie-princess-palatine-1626-1651-studio-of-gerrit-van-honthorst.jpg
Felix Nadar,Pictorialism,"photo,portrait",Pictorialism,,https://www.wikiart.org/en/nadar/edmond-de-goncourt-1877,https://uploads0.wikiart.org/00335/images/nadar/edmond-de-goncourt-by-nadar-c1877.jpg!Large.jpg,196498-edmond-de-goncourt-by-nadar-c1877.jpg
Justus van Gent,Northern Renaissance,"portrait,self-portrait",Northern Renaissance,,https://www.wikiart.org/en/justus-van-gent/john-duns-scotus-1476,https://uploads1.wikiart.org/00295/images/justus-van-gent/scoto-duns-scoto-studiolo-di-federico-da-montefeltro-1.jpg!Large.jpg,7449-scoto-duns-scoto-studiolo-di-federico-da-montefeltro-1.jpg
Pablo Picasso,Expressionism,portrait,Post-Impressionism,"['male-portraits', 'famous-people', 'SergeiDiaghilev', 'AlfredSeligsberg', 'Photograph', 'Standing', 'Sitting', 'Male', 'Arm', 'Sketch']",https://www.wikiart.org/en/pablo-picasso/portrait-of-diaghilev-and-seligsberg-1917,https://uploads8.wikiart.org/images/pablo-picasso/portrait-of-diaghilev-and-seligsberg-1917.jpg!Large.jpg,123612-portrait-of-diaghilev-and-seligsberg-1917.jpg
Arthur Pan,Realism,portrait,Classical Realism,"['Clothing', 'Lady', 'Dress', 'Gown', 'Headpiece', 'fashion', 'costumedesign', 'Victorianfashion']",https://www.wikiart.org/en/arthur-pan/elizabeth-ii-1954,https://uploads0.wikiart.org/00257/images/arthur-pan/elizabeth-ii-1954.jpg!Large.jpg,228845-elizabeth-ii-1954.jpg
Gilbert Stuart,Romanticism,portrait,Rococo,"['Gentleman', 'Male']",https://www.wikiart.org/en/gilbert-stuart/francis-welch-1815,https://uploads3.wikiart.org/images/gilbert-stuart/francis-welch-1815.jpg,27749-francis-welch-1815.jpg
Judith Leyster,Unknown,portrait,Baroque,,https://www.wikiart.org/en/judith-leyster/a-boy-and-a-girl-with-a-cat-and-an-eel,https://uploads6.wikiart.org/images/judith-leyster/a-boy-and-a-girl-with-a-cat-and-an-eel.jpg!Large.jpg,16071-a-boy-and-a-girl-with-a-cat-and-an-eel.jpg
