artist,style,genre,movement,tags,url,img,file_name
Giorgio de Chirico,Metaphysical art,nude painting (nu),Metaphysical art,"['female-nude', 'Mythology']",https://www.wikiart.org/en/giorgio-de-chirico/bathers-on-the-beach-1934,https://uploads6.wikiart.org/images/giorgio-de-chirico/bathers-on-the-beach-1934.jpg!Large.jpg,172135-bathers-on-the-beach-1934.jpg
Giorgio de Chirico,Neo-baroque,nude painting (nu),Metaphysical art,"['female-nude', 'leisure-and-sleep', 'Flesh', 'Mythology']",https://www.wikiart.org/en/giorgio-de-chirico/girl-asleep,https://uploads1.wikiart.org/images/giorgio-de-chirico/girl-asleep.jpg!Large.jpg,172158-girl-asleep.jpg
Giorgio de Chirico,Neo-baroque,nude painting (nu),Metaphysical art,"['female-nude', 'Mythology']",https://www.wikiart.org/en/giorgio-de-chirico/nymphs,https://uploads5.wikiart.org/images/giorgio-de-chirico/nymphs.jpg!Large.jpg,172230-nymphs.jpg
Mario Tozzi,Unknown,nude painting (nu),Metaphysical art,['Mythology'],https://www.wikiart.org/en/mario-tozzi/dopo-il-bagno-1922,https://uploads0.wikiart.org/images/mario-tozzi/dopo-il-bagno-1922.jpg,172315-dopo-il-bagno-1922.jpg
Mario Tozzi,Unknown,nude painting (nu),Metaphysical art,"['Barechested', 'Male', 'Chest', 'Back', 'Humanbody']",https://www.wikiart.org/en/mario-tozzi/donna-seduta-di-schiena,https://uploads6.wikiart.org/images/mario-tozzi/donna-seduta-di-schiena.jpg!Large.jpg,172320-donna-seduta-di-schiena.jpg
Mario Tozzi,Unknown,nude painting (nu),Metaphysical art,"['Male', 'Chest', 'Human']",https://www.wikiart.org/en/mario-tozzi/la-famiglia-del-pescatore,https://uploads8.wikiart.org/images/mario-tozzi/la-famiglia-del-pescatore.jpg!Large.jpg,172323-la-famiglia-del-pescatore.jpg
Mario Tozzi,Unknown,nude painting (nu),Metaphysical art,"['Stringinstrument', 'Musicalinstrument', 'Music', 'Musician', 'Violinfamily', 'Violone', 'Viol', 'Bowedstringinstrument']",https://www.wikiart.org/en/mario-tozzi/hommage-claudel-donna-musica,https://uploads1.wikiart.org/images/mario-tozzi/hommage-claudel-donna-musica.jpg,172326-hommage-claudel-donna-musica.jpg
Mario Tozzi,Metaphysical art,nude painting (nu),Metaphysical art,,https://www.wikiart.org/en/mario-tozzi/la-citt-delle-vergini-1966,https://uploads0.wikiart.org/images/mario-tozzi/la-citt-delle-vergini-1966.jpg!Large.jpg,172352-la-citt-delle-vergini-1966.jpg
Mario Tozzi,Unknown,nude painting (nu),Metaphysical art,,https://www.wikiart.org/en/mario-tozzi/il-pallone-a-spicchi-bianchi-e-verdi-fanciulle-al-mare,https://uploads0.wikiart.org/images/mario-tozzi/il-pallone-a-spicchi-bianchi-e-verdi-fanciulle-al-mare.jpg,172354-il-pallone-a-spicchi-bianchi-e-verdi-fanciulle-al-mare.jpg
Mario Tozzi,Unknown,nude painting (nu),Metaphysical art,,https://www.wikiart.org/en/mario-tozzi/la-grande-giocoliera,https://uploads2.wikiart.org/images/mario-tozzi/la-grande-giocoliera.jpg,172362-la-grande-giocoliera.jpg
Filippo De Pisis,Expressionism,nude painting (nu),Metaphysical art,,https://www.wikiart.org/en/filippo-de-pisis/nudino-sulla-pelle-di-tigre,https://uploads5.wikiart.org/00148/images/filippo-de-pisis/nudino-sulla-pelle-di-tigre.jpg,172392-nudino-sulla-pelle-di-tigre.jpg
