,artist,style,genre,movement,tags,url,img,file_name,detections,nude,gender
2522,Jean Cocteau,Expressionism,nude painting (nu),Expressionism,"['Head', 'Sketch', 'Arm', 'Leg', 'Hand', 'Figuredrawing']",https://www.wikiart.org/en/jean-cocteau/dessin-rotique,https://uploads7.wikiart.org/images/jean-cocteau/dessin-rotique.jpg!Large.jpg,133488-dessin-rotique.jpg,,False,unknown
2523,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-nude', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/kneeling-young-man-1908,https://uploads7.wikiart.org/images/egon-schiele/kneeling-young-man-1908.jpg!Large.jpg,133540-kneeling-young-man-1908.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.36464831233024597, 'box': [177, 64, 62, 56]}]",False,female
2524,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/reclining-female-nude-1908,https://uploads1.wikiart.org/images/egon-schiele/reclining-female-nude-1908.jpg!Large.jpg,133542-reclining-female-nude-1908.jpg,"[{'class': 'FEET_EXPOSED', 'score': 0.405466228723526, 'box': [285, 274, 74, 95]}]",False,unknown
2525,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['female-nude'],https://www.wikiart.org/en/egon-schiele/back-view-of-a-seated-female-nude-with-black-hair-bending-1909,https://uploads7.wikiart.org/00257/images/egon-schiele/schiele-danae.JPG!Large.JPG,133551-schiele-danae.JPG!Large.JPG,,False,unknown
2526,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/female-nude-1910,https://uploads0.wikiart.org/images/egon-schiele/female-nude-1910.jpg!Large.jpg,133568-female-nude-1910.jpg,"[{'class': 'FEET_COVERED', 'score': 0.7584257125854492, 'box': [115, 472, 100, 128]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.5113003253936768, 'box': [168, 117, 80, 67]}]",True,female
2527,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['female-nude'],https://www.wikiart.org/en/egon-schiele/female-nude-1910-1,https://uploads2.wikiart.org/images/egon-schiele/female-nude-1910-1.jpg!Large.jpg,133569-female-nude-1910-1.jpg,,False,unknown
2528,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['male-nude'],https://www.wikiart.org/en/egon-schiele/male-nude,https://uploads2.wikiart.org/images/egon-schiele/male-nude.jpg!Large.jpg,133577-male-nude.jpg,,False,unknown
2529,Egon Schiele,Expressionism,"nude painting (nu),self-portrait",Expressionism,"['male-nude', 'Male', 'Figuredrawing', 'Arm', 'Sketch']",https://www.wikiart.org/en/egon-schiele/seated-male-nude-1910,https://uploads5.wikiart.org/images/egon-schiele/seated-male-nude-1910.jpg!Large.jpg,133589-seated-male-nude-1910.jpg,"[{'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.5796060562133789, 'box': [369, 134, 67, 71]}, {'class': 'FEET_COVERED', 'score': 0.3489938974380493, 'box': [61, 377, 103, 183]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.29101115465164185, 'box': [325, 124, 58, 62]}]",True,female
2530,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-nude', 'Human', 'Muscle']",https://www.wikiart.org/en/egon-schiele/seated-male-nude-right-hand-outstretched-1910,https://uploads2.wikiart.org/images/egon-schiele/seated-male-nude-right-hand-outstretched-1910.jpg!Large.jpg,133590-seated-male-nude-right-hand-outstretched-1910.jpg,"[{'class': 'FEET_COVERED', 'score': 0.6915299296379089, 'box': [141, 481, 129, 114]}, {'class': 'FEET_COVERED', 'score': 0.6877819299697876, 'box': [329, 487, 84, 113]}]",False,unknown
2531,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-nude', 'Arm']",https://www.wikiart.org/en/egon-schiele/standing-male-nude-1910,https://uploads7.wikiart.org/images/egon-schiele/standing-male-nude-1910.jpg!Large.jpg,133599-standing-male-nude-1910.jpg,,False,unknown
